alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2,Absolute Time
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.226533
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.236536
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.246536
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.256536
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.266536
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.276536
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.286539
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.296537
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.306538
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.316537
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.326535
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.336538
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.346540
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.356540
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.366539
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.376541
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.386542
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.396541
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.406542
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.416542
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.426538
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.436542
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.446543
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.456542
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.466545
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.476543
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.486543
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.496543
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.506543
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.516544
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.526544
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.536545
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.546546
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.556545
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.566545
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.576545
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.586549
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.596546
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.606547
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.616547
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.626544
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.636549
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.646550
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.656551
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.666549
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.676548
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.686550
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.696551
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.706551
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.716551
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.726548
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.736551
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.746553
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.756553
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.766554
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.776553
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.786553
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.796553
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,3568631469.806553
